season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_mc,delta_u,dpts,both60,tie_pts,mc_pref_enter,u_pref_enter,actual_pref_enter,ctrl_mu_gap,gap_bucket,v_ctrl,v_swap
2022-23,FAIL,24,MID,446,Kulusevski,333,Fernandes,0.5618,0.6384,-9.0,1,0,1,1,0,0.1004,near,31.5351,32.0969
2022-23,FAIL,25,DEF,222,Ayling,285,Alexander-Arnold,-2.1362,-2.7084,-7.0,1,0,0,0,0,2.6992,large,53.9796,51.8433
2022-23,FAIL,26,FWD,262,Iheanacho,318,Haaland,0.2904,0.33,-2.0,1,0,1,1,0,0.4672,mid,33.1182,33.4086
2022-23,FAIL,26,FWD,394,Johnson,318,Haaland,-0.4948,-1.0704,9.0,1,0,0,0,1,1.0704,large,33.1182,32.6235
2022-23,FAIL,27,FWD,11,Nketiah,427,Kane,0.0261,0.2176,-13.0,0,0,1,1,0,0.206,near,51.4265,51.4526
2022-23,FAIL,27,FWD,11,Nketiah,95,Mbeumo,-0.544,-0.7104,-4.0,0,0,0,0,0,1.134,large,51.4265,50.8825
2022-23,FAIL,27,FWD,262,Iheanacho,427,Kane,0.0954,0.7948,-11.0,1,0,1,1,0,0.064,near,51.4265,51.5219
2022-23,FAIL,27,FWD,262,Iheanacho,95,Mbeumo,-0.1172,-0.1332,-2.0,1,0,0,0,0,0.992,large,51.4265,51.3093
2022-23,FAIL,28,MID,45,Bailey,233,Harrison,0.0025,0.0212,-3.0,1,0,1,1,0,0.1816,near,31.7774,31.78
2022-23,FAIL,29,DEF,256,Ricardo,342,Dalot,0.3347,0.6532,1.0,0,0,1,1,1,0.8712,large,64.4512,64.7858
2022-23,FAIL,29,MID,464,Benrahma,233,Harrison,0.1651,0.2964,-5.0,1,0,1,1,0,0.2208,near,64.4512,64.6163
2022-23,FAIL,30,DEF,256,Ricardo,280,Van Dijk,0.138,0.1568,1.0,0,0,1,1,1,0.6688,mid,34.4087,34.5467
2022-23,FAIL,30,DEF,256,Ricardo,92,Pinnock,0.17,0.4232,0.0,0,1,1,1,0,0.4024,mid,34.4087,34.5787
2022-23,FAIL,30,DEF,180,Keane,280,Van Dijk,-0.1158,-0.3012,1.0,1,0,0,0,1,0.6,mid,34.4087,34.2929
2022-23,FAIL,30,DEF,180,Keane,92,Pinnock,-0.0042,-0.0348,0.0,1,1,0,0,0,0.3336,mid,34.4087,34.4045
2022-23,FAIL,32,MID,88,Jensen,233,Harrison,-0.0197,-0.164,0.0,1,1,0,0,0,0.164,near,35.2787,35.259
2022-23,FAIL,33,FWD,288,Diogo Jota,427,Kane,-0.0475,-0.054,-10.0,0,0,0,0,0,0.644,mid,34.7425,34.695
2022-23,FAIL,33,DEF,199,Tarkowski,461,Zouma,-0.0056,-0.0464,-1.0,1,0,0,0,0,0.0464,near,34.7425,34.7369
2022-23,FAIL,33,DEF,199,Tarkowski,222,Ayling,-0.0113,-0.094,-1.0,1,0,0,0,0,0.07,near,34.7425,34.7312
