season,e024_gate,candidate,gw,class,gap_bucket,n_enter,n_exit,n_pos_touched,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_ctrl_mu,enter_cand_mu,enter_ctrl_p60,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_ctrl_mu,exit_mins,exit_pts,abs_d_ctrl,blank_enter,primary_harm,paired
2022-23,FAIL,v1_adxg,32,BUDGET_FLEX,mid,2,2,3,0,0,0,427,Kane,FWD,3.4068,3.4008,0.7927,90.0,6.0,40,Watkins,FWD,3.1336,90.0,2.0,0.2732,0,0,1
2022-23,FAIL,v1_adxg,33,BUDGET_FLEX,near,3,3,2,0,0,0,39,Mings,DEF,2.81,2.8344,0.7652,90.0,15.0,139,Chilwell,DEF,2.9152,90.0,1.0,0.1052,0,0,1
2022-23,FAIL,v1_adxg,33,BUDGET_FLEX,near,3,3,2,0,0,0,116,Mac Allister,MID,3.1072,3.2412,0.7652,90.0,2.0,42,Buendía,MID,3.238,90.0,3.0,0.1308,0,0,1
2022-23,FAIL,v1_adxg,33,BUDGET_FLEX,near,3,3,2,0,0,0,283,Salah,MID,3.756,4.0232,0.7652,90.0,2.0,301,De Bruyne,MID,3.7812,79.0,19.0,0.0252,0,0,1
2022-23,FAIL,v1_adxg,34,BUDGET_FLEX,large,2,2,2,0,1,1,280,Van Dijk,DEF,6.1276,6.4584,0.7652,180.0,7.0,342,Dalot,DEF,5.242,180.0,10.0,0.8856,0,0,1
2022-23,FAIL,v1_adxg,34,BUDGET_FLEX,large,2,2,2,0,1,1,301,De Bruyne,MID,7.576,8.2,0.7652,0.0,0.0,283,Salah,MID,8.5032,173.0,18.0,0.9272,1,1,1
2022-23,FAIL,v1_adxg,35,BUDGET_FLEX,near,3,3,2,0,1,1,303,Mahrez,MID,3.462,3.9796,0.6759,90.0,10.0,335,Rashford,MID,3.6484,90.0,2.0,0.1864,0,0,1
2022-23,FAIL,v1_adxg,35,BUDGET_FLEX,near,3,3,2,0,1,1,305,Grealish,MID,3.502,3.9796,0.7652,0.0,0.0,124,Mitoma,MID,3.5292,90.0,5.0,0.0272,1,1,1
2022-23,FAIL,v1_adxg,35,BUDGET_FLEX,near,3,3,2,0,1,1,586,Estupiñán,DEF,3.1956,3.3612,0.7652,90.0,0.0,366,Schär,DEF,3.2056,90.0,-2.0,0.01,0,0,1
2022-23,FAIL,v1_adxg,36,BUDGET_FLEX,,2,2,3,1,1,0,104,Groß,MID,5.676,5.546,0.7927,158.0,6.0,,,,,,,,0,0,0
2022-23,FAIL,v1_adxg,36,BUDGET_FLEX,large,2,2,3,1,1,0,342,Dalot,DEF,3.4056,3.5984,0.7652,0.0,0.0,586,Estupiñán,DEF,5.6256,180.0,17.0,2.22,1,0,1
2022-23,FAIL,v1_adxg,38,NEAR_TIE,near,1,1,1,1,1,0,355,Dubravka,GKP,3.6448,3.5652,0.791,90.0,3.0,81,Raya,GKP,3.7664,90.0,6.0,0.1216,0,0,1
2023-24,PASS,v1_adxg,1,BUDGET_FLEX,near,5,5,3,0,1,1,6,Havertz,MID,2.8388,3.0296,0.6759,90.0,2.0,14,Ødegaard,MID,3.0668,90.0,2.0,0.228,0,0,1
2023-24,PASS,v1_adxg,1,BUDGET_FLEX,near,5,5,3,0,1,1,29,White,DEF,1.69,1.8528,0.4308,90.0,1.0,206,James,DEF,1.7328,75.0,2.0,0.0428,0,0,1
2023-24,PASS,v1_adxg,1,BUDGET_FLEX,near,5,5,3,0,1,1,263,Pickford,GKP,3.1592,3.2184,0.791,90.0,2.0,77,Neto,GKP,3.2128,90.0,2.0,0.0536,0,0,1
2023-24,PASS,v1_adxg,1,BUDGET_FLEX,near,5,5,3,0,1,1,349,De Bruyne,MID,3.3796,3.658,0.6759,22.0,1.0,396,Rashford,MID,3.1624,87.0,3.0,0.2172,0,0,1
2023-24,PASS,v1_adxg,1,BUDGET_FLEX,mid,5,5,3,0,1,1,350,Rúben,DEF,1.4848,1.7584,0.4308,0.0,0.0,195,Chilwell,DEF,1.762,89.0,7.0,0.2772,1,1,1
2023-24,PASS,v1_adxg,2,BUDGET_FLEX,mid,3,3,2,2,1,0,19,Saka,MID,3.2344,3.494,0.6759,88.0,3.0,516,Son,MID,3.5672,90.0,3.0,0.3328,0,0,1
2023-24,PASS,v1_adxg,2,BUDGET_FLEX,near,3,3,2,2,1,0,28,Turner,GKP,3.6524,3.6948,0.791,90.0,2.0,546,Bentley,GKP,3.72,0.0,0.0,0.0676,0,0,1
2023-24,PASS,v1_adxg,2,BUDGET_FLEX,near,3,3,2,2,1,0,303,Luis Díaz,MID,2.8884,3.076,0.6759,85.0,7.0,504,Maddison,MID,2.9276,90.0,3.0,0.0392,0,0,1
2023-24,PASS,v1_adxg,3,BUDGET_FLEX,mid,5,5,4,1,2,1,29,White,DEF,1.5536,1.7136,0.4308,90.0,1.0,290,Alexander-Arnold,DEF,2.2604,90.0,1.0,0.7068,0,0,1
2023-24,PASS,v1_adxg,3,BUDGET_FLEX,near,5,5,4,1,2,1,113,Raya,GKP,3.7656,4.0028,0.7915,0.0,0.0,614,Kaminski,GKP,3.9452,90.0,2.0,0.1796,1,1,1
2023-24,PASS,v1_adxg,3,BUDGET_FLEX,mid,5,5,4,1,2,1,216,Sterling,MID,2.5808,2.7132,0.6759,90.0,19.0,14,Ødegaard,MID,2.9088,83.0,2.0,0.328,0,0,1
2023-24,PASS,v1_adxg,3,BUDGET_FLEX,mid,5,5,4,1,2,1,354,Grealish,MID,2.4712,2.7552,0.6759,90.0,7.0,396,Rashford,MID,3.1272,90.0,7.0,0.656,0,0,1
2023-24,PASS,v1_adxg,3,BUDGET_FLEX,large,5,5,4,1,2,1,355,Haaland,FWD,3.7232,4.4212,0.6759,90.0,4.0,211,N.Jackson,FWD,2.5056,82.0,7.0,1.2176,0,0,1
2023-24,PASS,v1_adxg,4,BLANK_MIN,near,1,1,1,2,2,0,664,Ward-Prowse,MID,1.9116,1.9528,0.4308,90.0,7.0,19,Saka,MID,1.9192,90.0,4.0,0.0076,0,0,1
2023-24,PASS,v1_adxg,5,BUDGET_FLEX,near,2,2,2,1,1,0,43,Douglas Luiz,MID,2.9388,3.0596,0.6745,90.0,10.0,226,Eze,MID,3.0572,90.0,1.0,0.1184,0,0,1
2023-24,PASS,v1_adxg,5,BUDGET_FLEX,near,2,2,2,1,1,0,195,Chilwell,DEF,2.4144,2.5132,0.6759,10.0,0.0,545,Aït-Nouri,DEF,2.4336,64.0,2.0,0.0192,0,0,1
2023-24,PASS,v1_adxg,6,BUDGET_FLEX,,2,2,3,0,0,0,226,Eze,MID,2.8508,2.9244,0.6759,90.0,3.0,,,,,,,,0,0,0
2023-24,PASS,v1_adxg,6,BUDGET_FLEX,near,2,2,3,0,0,0,275,Leno,GKP,3.98,3.8508,0.7915,90.0,10.0,482,Foderingham,GKP,4.0128,90.0,0.0,0.0328,0,0,1
2023-24,PASS,v1_adxg,7,NEAR_TIE,near,1,1,1,0,0,0,307,Robertson,DEF,2.5952,2.7628,0.6759,90.0,0.0,220,Andersen,DEF,2.8,90.0,15.0,0.2048,0,0,1
2023-24,PASS,v1_adxg,8,BUDGET_FLEX,near,2,2,1,0,0,0,108,Mbeumo,MID,3.1968,3.2732,0.6759,90.0,2.0,353,Foden,MID,3.3536,90.0,2.0,0.1568,0,0,1
2023-24,PASS,v1_adxg,8,BUDGET_FLEX,near,2,2,1,0,0,0,516,Son,MID,3.6804,3.8428,0.6759,75.0,3.0,14,Ødegaard,MID,3.6916,90.0,3.0,0.0112,0,0,1
2023-24,PASS,v1_adxg,9,BUDGET_FLEX,mid,3,3,3,0,0,0,106,Jensen,MID,2.9032,2.9996,0.6759,75.0,2.0,526,Bowen,MID,3.3712,90.0,8.0,0.468,0,0,1
2023-24,PASS,v1_adxg,9,BUDGET_FLEX,near,3,3,3,0,0,0,433,Wilson,FWD,3.2484,3.7388,0.6759,69.0,6.0,343,J.Alvarez,FWD,3.2128,90.0,9.0,0.0356,0,0,1
2023-24,PASS,v1_adxg,9,BUDGET_FLEX,near,3,3,3,0,0,0,506,Pedro Porro,DEF,2.8408,2.978,0.6745,90.0,6.0,197,Colwill,DEF,2.746,90.0,1.0,0.0948,0,0,1
2023-24,PASS,v1_adxg,10,BUDGET_FLEX,near,4,4,3,1,2,1,14,Ødegaard,MID,3.5292,3.9328,0.6759,0.0,0.0,373,B.Fernandes,MID,3.6228,90.0,1.0,0.0936,1,1,1
2023-24,PASS,v1_adxg,10,BUDGET_FLEX,near,4,4,3,1,2,1,29,White,DEF,2.9756,3.3228,0.6759,65.0,6.0,197,Colwill,DEF,2.9208,90.0,1.0,0.0548,0,0,1
2023-24,PASS,v1_adxg,10,BUDGET_FLEX,mid,4,4,3,1,2,1,43,Douglas Luiz,MID,3.1396,3.2772,0.6759,89.0,7.0,516,Son,MID,3.884,90.0,10.0,0.7444,0,0,1
2023-24,PASS,v1_adxg,10,BUDGET_FLEX,mid,4,4,3,1,2,1,60,Watkins,FWD,3.4284,3.5868,0.6759,90.0,2.0,119,Wissa,FWD,3.0496,75.0,2.0,0.3788,0,0,1
2023-24,PASS,v1_adxg,11,BUDGET_FLEX,,2,2,3,0,0,0,343,J.Alvarez,FWD,3.2256,3.5636,0.6759,70.0,2.0,,,,,,,,0,0,0
2023-24,PASS,v1_adxg,11,BUDGET_FLEX,near,2,2,3,0,0,0,506,Pedro Porro,DEF,2.7924,2.8092,0.6745,90.0,0.0,265,Tarkowski,DEF,2.798,90.0,1.0,0.0056,0,0,1
2023-24,PASS,v1_adxg,13,BUDGET_FLEX,near,2,2,2,0,0,0,281,Ream,DEF,2.7648,2.786,0.6745,90.0,0.0,506,Pedro Porro,DEF,2.9352,90.0,5.0,0.1704,0,0,1
2023-24,PASS,v1_adxg,13,BUDGET_FLEX,near,2,2,2,0,0,0,373,B.Fernandes,MID,3.3608,3.6148,0.6759,90.0,6.0,344,Bernardo,MID,3.2652,90.0,1.0,0.0956,0,0,1
