season,e024_gate,candidate,gw,xi0_worse_gw,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,oc_xi0_hold,oc_cap_hold,oc_xi0_ctrl,oc_cap_ctrl,pair_feasible,pair_reason,xi0_pair,cap_pair,oc_xi0_pair,oc_cap_pair
2024-25,PASS,v1_adxg,38,0,0,0,0,45.0,49.0,49.0,0,0.0,0,-4.0,1,ok,0,48.0,0,-1.0
2025-26,FAIL,v1_adxg,1,0,1,0,0,53.0,70.0,70.0,0,0.0,-1,-17.0,1,ok,1,53.0,-1,-17.0
2025-26,FAIL,v1_adxg,2,1,1,3,1,59.0,19.0,45.0,2,26.0,2,40.0,1,ok,1,52.0,2,33.0
2025-26,FAIL,v1_adxg,3,0,4,3,3,28.0,37.0,37.0,0,0.0,-1,-9.0,1,ok,4,28.0,-1,-9.0
2025-26,FAIL,v1_adxg,4,0,3,3,3,39.0,39.0,39.0,0,0.0,0,0.0,1,ok,3,39.0,0,0.0
2025-26,FAIL,v1_adxg,5,0,1,1,1,56.0,54.0,54.0,0,0.0,0,2.0,1,ok,1,56.0,0,2.0
2025-26,FAIL,v1_adxg,6,0,1,1,1,50.0,55.0,55.0,0,0.0,0,-5.0,0,primary_unpaired,,,,
2025-26,FAIL,v1_adxg,7,0,1,0,0,62.0,80.0,80.0,0,0.0,-1,-18.0,1,ok,1,62.0,-1,-18.0
2025-26,FAIL,v1_adxg,8,0,1,0,0,72.0,77.0,77.0,0,0.0,-1,-5.0,1,ok,0,78.0,0,1.0
2025-26,FAIL,v1_adxg,9,0,1,1,1,51.0,41.0,41.0,0,0.0,0,10.0,1,ok,1,53.0,0,12.0
2025-26,FAIL,v1_adxg,11,0,0,0,0,38.0,40.0,40.0,0,0.0,0,-2.0,1,ok,0,40.0,0,0.0
2025-26,FAIL,v1_adxg,12,1,1,2,2,31.0,29.0,29.0,0,0.0,1,2.0,1,ok,2,29.0,0,0.0
2025-26,FAIL,v1_adxg,13,0,1,0,0,47.0,49.0,49.0,0,0.0,-1,-2.0,1,ok,0,52.0,0,3.0
2025-26,FAIL,v1_adxg,14,0,0,0,0,51.0,52.0,52.0,0,0.0,0,-1.0,1,ok,0,52.0,0,0.0
2025-26,FAIL,v1_adxg,15,0,1,1,1,57.0,56.0,56.0,0,0.0,0,1.0,1,ok,1,64.0,0,8.0
2025-26,FAIL,v1_adxg,16,0,0,0,0,81.0,75.0,75.0,0,0.0,0,6.0,1,ok,0,77.0,0,2.0
2025-26,FAIL,v1_adxg,17,0,0,0,0,78.0,79.0,79.0,0,0.0,0,-1.0,1,ok,0,75.0,0,-4.0
2025-26,FAIL,v1_adxg,18,0,3,3,3,29.0,33.0,33.0,0,0.0,0,-4.0,1,ok,3,36.0,0,3.0
2025-26,FAIL,v1_adxg,19,0,1,1,1,59.0,48.0,48.0,0,0.0,0,11.0,1,ok,1,53.0,0,5.0
2025-26,FAIL,v1_adxg,20,0,0,0,0,35.0,43.0,43.0,0,0.0,0,-8.0,1,ok,0,34.0,0,-9.0
2025-26,FAIL,v1_adxg,22,0,0,0,0,47.0,46.0,46.0,0,0.0,0,1.0,1,ok,0,46.0,0,0.0
2025-26,FAIL,v1_adxg,23,0,0,0,0,23.0,33.0,33.0,0,0.0,0,-10.0,1,ok,0,29.0,0,-4.0
2025-26,FAIL,v1_adxg,24,0,0,0,0,78.0,80.0,80.0,0,0.0,0,-2.0,1,ok,0,84.0,0,4.0
2025-26,FAIL,v1_adxg,25,0,0,0,0,59.0,64.0,64.0,0,0.0,0,-5.0,1,ok,0,64.0,0,0.0
2025-26,FAIL,v1_adxg,26,0,0,0,0,81.0,94.0,94.0,0,0.0,0,-13.0,1,ok,0,82.0,0,-12.0
2025-26,FAIL,v1_adxg,27,0,1,0,0,34.0,39.0,39.0,0,0.0,-1,-5.0,1,ok,0,37.0,0,-2.0
2025-26,FAIL,v1_adxg,28,0,1,1,1,56.0,65.0,65.0,0,0.0,0,-9.0,1,ok,1,63.0,0,-2.0
2025-26,FAIL,v1_adxg,29,0,0,0,0,89.0,78.0,78.0,0,0.0,0,11.0,0,primary_unpaired,,,,
2025-26,FAIL,v1_adxg,30,1,0,1,0,68.0,65.0,71.0,1,6.0,1,3.0,1,ok,0,74.0,1,9.0
2025-26,FAIL,v1_adxg,31,0,0,0,0,68.0,67.0,67.0,0,0.0,0,1.0,1,ok,0,67.0,0,0.0
2025-26,FAIL,v1_adxg,32,0,0,0,0,55.0,69.0,69.0,0,0.0,0,-14.0,1,ok,0,55.0,0,-14.0
2025-26,FAIL,v1_adxg,33,0,1,1,1,85.0,89.0,89.0,0,0.0,0,-4.0,1,ok,1,89.0,0,0.0
2025-26,FAIL,v1_adxg,34,0,0,0,0,48.0,48.0,48.0,0,0.0,0,0.0,1,ok,0,48.0,0,0.0
2025-26,FAIL,v1_adxg,35,0,0,0,0,64.0,61.0,61.0,0,0.0,0,3.0,1,ok,0,60.0,0,-1.0
2025-26,FAIL,v1_adxg,36,0,2,2,2,66.0,54.0,54.0,0,0.0,0,12.0,1,ok,2,63.0,0,9.0
2025-26,FAIL,v1_adxg,37,1,0,1,0,71.0,59.0,68.0,1,9.0,1,12.0,1,ok,0,71.0,1,12.0
2025-26,FAIL,v1_adxg,38,1,3,5,4,28.0,25.0,26.0,1,1.0,2,3.0,1,ok,4,26.0,1,1.0
