season,gw,movement,player_id,web_name,position,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_club_prior,actual_minutes,blank,actual_points
2022-23,35,entered,285,Alexander-Arnold,DEF,0.82,3.5672,3.5672,0.0,1,90.0,0,7
2022-23,35,entered,303,Mahrez,MID,0.72,3.462,4.0932,0.6312,1,90.0,0,10
2022-23,36,left,40,Watkins,FWD,0.85,3.4336,3.4336,0.0,1,90.0,0,4
2022-23,36,left,366,Schär,DEF,0.85,5.9488,5.9488,0.0,1,180.0,0,2
2022-23,36,entered,356,Wilson,FWD,0.68,5.8848,6.0264,0.1416,1,162.0,0,24
2022-23,36,entered,342,Dalot,DEF,0.82,3.4056,3.4056,0.0,1,0.0,1,0
2023-24,1,left,396,Rashford,MID,0.72,3.1624,3.3356,0.1732,1,87.0,0,3
2023-24,1,left,14,Ødegaard,MID,0.72,3.0668,2.9932,-0.0736,1,90.0,0,2
2023-24,1,entered,26,Trossard,MID,0.72,2.66,3.516,0.856,1,17.0,0,1
2023-24,1,entered,294,Diogo J.,MID,0.72,2.6072,3.8836,1.2764,1,65.0,0,1
2023-24,2,left,368,Stones,DEF,0.68,2.666,2.666,0.0,1,0.0,1,0
2023-24,2,left,355,Haaland,FWD,0.72,4.3136,3.8944,-0.4192,1,90.0,0,2
2023-24,2,left,236,Olise,MID,0.85,3.2504,3.2504,0.0,1,0.0,1,0
2023-24,2,left,664,Ward-Prowse,MID,0.85,3.16,3.16,0.0,0,80.0,0,9
2023-24,2,entered,433,Wilson,FWD,0.72,2.8648,3.29,0.4252,1,24.0,0,1
2023-24,2,entered,290,Alexander-Arnold,DEF,0.72,2.7512,3.234,0.4828,1,75.0,0,2
2023-24,2,entered,294,Diogo J.,MID,0.72,2.7976,4.2644,1.4668,1,75.0,0,12
2023-24,2,entered,526,Bowen,MID,0.72,2.6012,3.4128,0.8116,1,90.0,0,2
2023-24,3,left,8,G.Jesus,FWD,0.82,3.2084,3.2084,0.0,1,1.0,0,1
2023-24,3,left,355,Haaland,FWD,0.72,3.7232,3.3548,-0.3684,1,90.0,0,4
2023-24,3,left,236,Olise,MID,0.85,2.9848,2.9848,0.0,1,0.0,1,0
2023-24,3,left,198,Cucurella,DEF,0.68,2.0,1.9892,-0.0108,1,0.0,1,0
2023-24,3,entered,433,Wilson,FWD,0.72,3.0936,3.716,0.6224,1,18.0,0,1
