season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_v,delta_u,dpts,both60,tie_pts,v_pref_enter,u_pref_enter,actual_pref_enter,sign_disagree,n_feasible,best_y_feasible,regret_entrant,v_ctrl,v_swap,fixture_pairs_ctrl,fixture_pairs_swap
2022-23,FAIL,20,DEF,595,Zanka,92,Pinnock,0.0,-0.3104,-5.0,0,0,0,0,0,0,5,6.0,5.0,36.6128,36.6128,44.0,44.0
2022-23,FAIL,20,FWD,619,Gnonto,11,Nketiah,0.0,-0.3888,0.0,1,1,0,0,0,0,9,12.0,10.0,36.6128,36.6128,44.0,44.0
2022-23,FAIL,21,DEF,16,Gabriel,302,Stones,-0.7728,-0.2728,-7.0,1,0,0,0,0,0,22,8.0,7.0,28.5572,27.7844,9.0,10.0
2022-23,FAIL,21,DEF,222,Ayling,302,Stones,0.1528,-0.506,0.0,1,1,1,0,0,1,22,8.0,0.0,28.5572,28.71,9.0,8.0
2022-23,FAIL,21,MID,171,Olise,680,Gakpo,0.5656,-0.4344,-3.0,0,0,1,0,0,1,21,10.0,10.0,28.5572,29.1228,9.0,7.0
2022-23,FAIL,21,MID,171,Olise,335,Rashford,0.6668,-0.3332,-7.0,0,0,1,0,0,1,20,10.0,10.0,28.5572,29.224,9.0,7.0
2022-23,FAIL,21,MID,171,Olise,283,Salah,0.4812,-0.5188,-3.0,0,0,1,0,0,1,23,10.0,10.0,28.5572,29.0384,9.0,7.0
2022-23,FAIL,21,MID,278,Chamberlain,680,Gakpo,0.0408,-0.66,-3.0,0,0,1,0,0,1,21,10.0,10.0,28.5572,28.598,9.0,8.0
2022-23,FAIL,21,MID,278,Chamberlain,283,Salah,-0.0436,-0.7444,-3.0,0,0,0,0,0,0,23,10.0,10.0,28.5572,28.5136,9.0,8.0
2022-23,FAIL,22,DEF,92,Pinnock,448,Perišić,0.0,-0.008,1.0,1,0,0,0,1,0,18,13.0,7.0,34.574,34.574,23.0,23.0
2022-23,FAIL,22,MID,135,Ziyech,699,Mudryk,0.0,-0.4452,0.0,0,1,0,0,0,0,14,11.0,10.0,34.574,34.574,23.0,23.0
