season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2022-23,11,31,Martínez,3.2112,4.2,3.55728,1,
2022-23,11,32,Chambers,0.4752,-0.5,0.13388,1,
2022-23,11,33,Digne,0.0,0.0,0.0,1,
2022-23,11,34,Traoré,0.0,0.0,0.0,1,
2022-23,11,35,Olsen,0.184,-0.5,-0.0554,1,
2022-23,11,36,Sanson,0.8572,-0.5,0.38218,1,
2022-23,11,37,McGinn,0.7844,1.8,1.13986,1,
2022-23,11,38,Hause,0.0,0.0,0.0,1,
2022-23,11,39,Mings,2.6252,5.2,3.52638,1,
2022-23,12,3,Xhaka,0.0,0.0,0.0,1,
2022-23,12,4,Elneny,0.0,0.0,0.0,1,
2022-23,12,5,Holding,0.0,0.0,0.0,1,
2022-23,12,6,Partey,0.0,0.0,0.0,1,
2022-23,12,7,Ødegaard,0.0,0.0,0.0,1,
2022-23,12,8,Tierney,0.0,0.0,0.0,1,
2022-23,12,9,Pépé,0.0,0.0,0.0,1,
2022-23,12,10,White,0.0,0.0,0.0,1,
2022-23,12,11,Nketiah,0.0,0.0,0.0,1,
2022-23,12,12,Smith Rowe,0.0,0.0,0.0,1,
2022-23,12,13,Saka,0.0,0.0,0.0,1,
2022-23,12,14,Tomiyasu,0.0,0.0,0.0,1,
2022-23,12,15,Ramsdale,0.0,0.0,0.0,1,
2022-23,12,16,Gabriel,0.0,0.0,0.0,1,
2022-23,12,17,Tavares,0.0,0.0,0.0,1,
2022-23,12,19,Martinelli,0.0,0.0,0.0,1,
2022-23,12,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,12,22,Torreira,0.0,0.0,0.0,1,
2022-23,12,23,Nelson,0.0,0.0,0.0,1,
2022-23,12,24,Turner,0.0,0.0,0.0,1,
2022-23,12,25,Fábio Vieira,0.0,0.0,0.0,1,
2022-23,12,26,Saliba,0.0,0.0,0.0,1,
2022-23,12,27,Marquinhos,0.0,0.0,0.0,1,
2022-23,12,28,Jesus,0.0,0.0,0.0,1,
2022-23,12,111,Trossard,0.0,8.5,2.975,1,
2022-23,12,130,Jorginho,0.0,1.8,0.63,1,
2022-23,12,313,Zinchenko,0.0,0.0,0.0,1,
2022-23,12,607,Smith,0.0,0.0,0.0,1,
2022-23,12,630,Nwaneri,0.0,0.0,0.0,1,
2022-23,12,631,Sousa,0.0,0.0,0.0,1,
2022-23,12,29,Coutinho,0.912,2.0,1.2928,1,
2022-23,12,31,Martínez,2.6904,3.0,2.79876,1,
2022-23,12,32,Chambers,0.4272,0.0,0.27768,1,
2022-23,12,33,Digne,0.0,0.0,0.0,1,
2022-23,12,34,Traoré,0.0,0.0,0.0,1,
2022-23,12,35,Olsen,0.1748,0.0,0.11362,1,
2022-23,12,36,Sanson,0.8568,0.0,0.55692,1,
2022-23,12,37,McGinn,1.658,2.0,1.7777,1,
2022-23,12,38,Hause,0.0,0.0,0.0,1,
2022-23,12,39,Mings,1.6132,2.2,1.81858,1,
2022-23,13,3,Xhaka,1.938,5.2,3.0797,1,
2022-23,13,4,Elneny,0.0,0.0,0.0,1,
2022-23,13,5,Holding,0.5292,0.8,0.62398,1,
2022-23,13,6,Partey,0.9452,5.5,2.53938,1,
2022-23,13,7,Ødegaard,1.1552,4.5,2.32588,1,
2022-23,13,8,Tierney,0.8956,1.5,1.10714,1,
