season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,5,279,Firmino,FWD,288,Diogo Jota,FWD,0.4744,9.0,3.5044,3.03,9.0,0.0,90.0,0.0,1.1072,0,0,1,1,0
2022-23,FAIL,5,279,Firmino,FWD,257,Amartey,DEF,1.3764,9.0,3.5044,2.128,9.0,0.0,90.0,0.0,1.1072,0,0,1,1,0
2022-23,FAIL,5,279,Firmino,FWD,258,Castagne,DEF,1.2632,9.0,3.5044,2.2412,9.0,0.0,90.0,0.0,1.1072,0,0,1,1,0
2022-23,FAIL,5,279,Firmino,FWD,301,De Bruyne,MID,-0.6716,8.0,3.5044,4.176,9.0,1.0,90.0,21.0,1.1072,0,1,0,1,0
2022-23,FAIL,5,279,Firmino,FWD,210,Mitrović,FWD,0.978,0.0,3.5044,2.5264,9.0,9.0,90.0,90.0,1.1072,1,1,1,0,1
2022-23,FAIL,5,279,Firmino,FWD,116,Mac Allister,MID,0.7368,-1.0,3.5044,2.7676,9.0,10.0,90.0,90.0,1.1072,1,1,1,0,0
2022-23,FAIL,5,279,Firmino,FWD,156,Ward,DEF,1.3372,7.0,3.5044,2.1672,9.0,2.0,90.0,90.0,1.1072,1,1,1,1,0
2022-23,FAIL,5,279,Firmino,FWD,318,Haaland,FWD,-0.0556,-8.0,3.5044,3.56,9.0,17.0,90.0,68.0,1.1072,1,1,0,0,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,288,Diogo Jota,FWD,0.1912,2.0,3.2212,3.03,2.0,0.0,70.0,0.0,0.576,0,0,1,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,257,Amartey,DEF,1.0932,2.0,3.2212,2.128,2.0,0.0,70.0,0.0,0.576,0,0,1,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,258,Castagne,DEF,0.98,2.0,3.2212,2.2412,2.0,0.0,70.0,0.0,0.576,0,0,1,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,301,De Bruyne,MID,-0.9548,1.0,3.2212,4.176,2.0,1.0,70.0,21.0,0.576,0,1,0,1,0
2022-23,FAIL,5,285,Alexander-Arnold,DEF,210,Mitrović,FWD,0.6948,-7.0,3.2212,2.5264,2.0,9.0,70.0,90.0,0.576,1,1,1,0,0
