season,e024_gate,gw,movement,player_id,web_name,position,season_minutes,recent4_minutes,q,ctrl_mu,treat_mu,packaged_u,mu_delta,had_club_prior,new_club,was_ctrl_captain,was_treat_captain,actual_minutes,blank,actual_points,decision_utility
2022-23,FAIL,15,left,461,Zouma,DEF,1080,270,1.0,2.5952,2.5492,2.5492,-0.046,1,0,0,0,90.0,0,1.0,2.5492
2022-23,FAIL,15,left,475,Coady,DEF,1070,360,1.0,2.5244,2.5244,2.5244,0.0,0,1,0,0,90.0,0,1.0,2.5244
2022-23,FAIL,15,entered,288,Diogo Jota,FWD,195,90,1.0,2.3464,3.298,3.298,0.9516,1,1,0,0,0.0,1,0.0,3.298
2022-23,FAIL,15,entered,465,Bowen,MID,1161,357,1.0,2.3136,2.9144,2.9144,0.6008,1,0,0,0,90.0,0,2.0,2.9144
2022-23,FAIL,15,entered,538,Young,DEF,694,360,1.0,2.466,2.684,2.684,0.218,1,0,0,0,11.0,0,1.0,2.684
2022-23,FAIL,15,entered,141,Chalobah,DEF,540,360,1.0,2.3792,2.91,2.91,0.5308,1,0,0,0,90.0,0,1.0,2.91
2022-23,FAIL,16,left,680,Gakpo,MID,0,0,0.0,2.774,2.774,2.774,0.0,0,1,0,0,0.0,1,0.0,2.774
2022-23,FAIL,16,left,377,Botman,DEF,971,340,1.0,2.5144,2.5144,2.5144,0.0,0,1,0,0,86.0,0,7.0,2.5144
2022-23,FAIL,16,left,614,Willian,MID,473,329,1.0,2.7236,2.7236,2.7236,0.0,0,1,0,0,90.0,0,2.0,2.7236
2022-23,FAIL,16,entered,464,Benrahma,MID,655,272,1.0,2.1308,2.9488,2.9488,0.818,1,0,0,0,90.0,0,2.0,2.9488
2022-23,FAIL,16,entered,374,Bruno Guimarães,MID,903,350,1.0,2.1852,2.9308,2.9308,0.7456,1,1,0,0,90.0,0,3.0,2.9308
2022-23,FAIL,16,entered,286,Gomez,DEF,795,273,1.0,2.5112,2.8512,2.8512,0.34,1,1,0,0,90.0,0,2.0,2.8512
2022-23,FAIL,17,left,257,Amartey,DEF,913,360,1.0,2.6188,2.5516,2.5516,-0.0672,1,1,0,0,90.0,0,1.0,2.5516
2022-23,FAIL,17,left,258,Castagne,DEF,1191,360,1.0,2.6388,2.66,2.66,0.0212,1,1,0,0,90.0,0,1.0,2.66
2022-23,FAIL,17,left,342,Dalot,DEF,1165,270,1.0,2.7148,2.5832,2.5832,-0.1316,1,1,0,0,0.0,1,0.0,2.5832
2022-23,FAIL,17,left,519,Eriksen,MID,1043,337,1.0,2.5432,2.5432,2.5432,0.0,0,1,0,0,76.0,0,5.0,2.5432
2022-23,FAIL,17,entered,16,Gabriel,DEF,1260,360,1.0,2.538,2.702,2.702,0.164,1,0,0,0,90.0,0,2.0,2.702
2022-23,FAIL,17,entered,42,Buendía,MID,720,281,1.0,2.3836,2.8776,2.8776,0.494,1,0,0,0,85.0,0,2.0,2.8776
2022-23,FAIL,17,entered,171,Olise,MID,749,326,1.0,2.314,3.1252,3.1252,0.8112,1,0,0,0,83.0,0,2.0,3.1252
2022-23,FAIL,17,entered,141,Chalobah,DEF,720,360,1.0,2.1576,2.6652,2.6652,0.5076,1,0,0,0,2.0,0,1.0,2.6652
2022-23,FAIL,18,left,680,Gakpo,MID,0,0,0.0,2.7892,2.7892,2.7892,0.0,0,1,0,0,0.0,1,0.0,2.7892
2022-23,FAIL,18,left,369,Almirón,MID,1337,337,1.0,2.56,2.4512,2.4512,-0.1088,1,1,0,0,83.0,0,3.0,2.4512
2022-23,FAIL,18,left,427,Kane,FWD,1426,360,1.0,2.7028,2.8184,2.8184,0.1156,1,1,0,0,90.0,0,2.0,2.8184
2022-23,FAIL,18,left,470,Diop,DEF,686,360,1.0,2.5364,2.5364,2.5364,0.0,0,1,0,0,90.0,0,2.0,2.5364
2022-23,FAIL,18,entered,288,Diogo Jota,FWD,195,0,0.0,2.5832,3.6124,2.5832,1.0292,1,1,0,0,0.0,1,0.0,2.5832
2022-23,FAIL,18,entered,300,Gündogan,MID,980,360,1.0,2.5908,3.1624,3.1624,0.5716,1,1,0,0,3.0,0,1.0,3.1624
2022-23,FAIL,18,entered,285,Alexander-Arnold,DEF,1066,332,1.0,2.6832,3.1144,3.1144,0.4312,1,1,0,0,85.0,0,8.0,3.1144
2022-23,FAIL,18,entered,464,Benrahma,MID,835,333,1.0,2.2444,3.0532,3.0532,0.8088,1,0,0,0,90.0,0,2.0,3.0532
2022-23,FAIL,19,left,257,Amartey,DEF,1093,360,1.0,2.5548,2.4388,2.4388,-0.116,1,1,0,0,90.0,0,2.0,2.4388
2022-23,FAIL,19,entered,171,Olise,MID,919,350,1.0,2.4856,3.1668,3.1668,0.6812,1,0,0,0,72.0,0,2.0,3.1668
2022-23,FAIL,20,left,169,Eze,MID,1345,282,1.0,4.7732,4.9736,4.9736,0.2004,1,0,0,0,103.0,0,2.0,4.9736
2022-23,FAIL,20,left,302,Stones,DEF,1000,360,1.0,5.0536,5.1528,5.1528,0.0992,1,1,0,0,90.0,0,1.0,5.1528
2022-23,FAIL,20,entered,513,Lenglet,DEF,835,321,1.0,4.6312,4.6312,4.6312,0.0,0,1,0,0,99.0,0,1.0,4.6312
2022-23,FAIL,20,entered,300,Gündogan,MID,1073,273,1.0,5.098,5.9276,5.9276,0.8296,1,1,0,0,80.0,0,2.0,5.9276
2022-23,FAIL,21,left,680,Gakpo,MID,90,90,1.0,2.91,2.91,2.91,0.0,0,1,0,0,81.0,0,3.0,2.91
2022-23,FAIL,21,left,302,Stones,DEF,1090,360,1.0,2.798,2.8192,2.8192,0.0212,1,1,0,0,90.0,0,8.0,2.8192
2022-23,FAIL,21,left,335,Rashford,MID,1526,400,1.0,2.8088,2.8752,2.8752,0.0664,1,1,0,0,90.0,0,7.0,2.8752
2022-23,FAIL,21,left,628,Aurier,DEF,873,343,1.0,2.5804,2.5804,2.5804,0.0,0,1,0,0,74.0,0,2.0,2.5804
2022-23,FAIL,21,left,283,Salah,MID,1597,360,1.0,2.9944,3.1716,3.1716,0.1772,1,1,0,0,90.0,0,3.0,3.1716
2022-23,FAIL,21,entered,357,Trippier,DEF,1684,360,1.0,2.62,2.702,2.702,0.082,1,1,0,0,90.0,0,8.0,2.702
2022-23,FAIL,21,entered,171,Olise,MID,1171,422,1.0,2.4756,2.9276,2.9276,0.452,1,0,0,0,25.0,0,0.0,2.9276
2022-23,FAIL,21,entered,301,De Bruyne,MID,1490,360,1.0,3.1072,3.348,3.348,0.2408,1,1,0,0,76.0,0,6.0,3.348
2022-23,FAIL,21,entered,278,Chamberlain,MID,307,277,1.0,2.25,3.0504,3.0504,0.8004,1,1,0,0,0.0,1,0.0,3.0504
2022-23,FAIL,21,entered,222,Ayling,DEF,428,274,1.0,2.292,2.6836,2.6836,0.3916,1,1,0,0,90.0,0,8.0,2.6836
2022-23,FAIL,22,left,7,Ødegaard,MID,1522,356,1.0,2.9012,2.9492,2.9492,0.048,1,0,0,0,76.0,0,2.0,2.9492
2022-23,FAIL,22,entered,135,Ziyech,MID,422,274,1.0,2.29,3.166,3.166,0.876,1,0,0,0,59.0,0,1.0,3.166
2022-23,FAIL,23,left,16,Gabriel,DEF,1800,360,1.0,5.0456,5.0456,5.0456,0.0,1,0,0,0,180.0,0,3.0,5.0456
2022-23,FAIL,23,left,2,Leno,GKP,1800,450,1.0,3.7676,3.7676,3.7676,0.0,0,1,0,0,90.0,0,6.0,3.7676
2022-23,FAIL,23,left,124,Mitoma,MID,834,346,1.0,2.76,2.76,2.76,0.0,0,1,0,0,90.0,0,2.0,2.76
2022-23,FAIL,23,left,335,Rashford,MID,1796,540,1.0,2.9084,2.9084,2.9084,0.0,1,1,0,0,90.0,0,8.0,2.9084
