season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_pair,delta_ilp,delta_full,delta_reeq,abs_reeq_gt_pair,g_treat,g_ctrl,ctrl_cap,pair_cap,full_cap,entrant_pts,leaver_pts,dpts_swap
2022-23,FAIL,15,FWD,288,Diogo Jota,427,Kane,-4.0,-2.0,-2.0,2.0,0,0.7499,0.2925,40.0,36.0,38.0,0.0,8.0,-8.0
2022-23,FAIL,15,FWD,166,Edouard,66,Solanke,4.0,-2.0,-2.0,-6.0,1,1.1574,0.0614,40.0,44.0,38.0,0.0,6.0,-6.0
2022-23,FAIL,15,FWD,166,Edouard,427,Kane,2.0,-2.0,-2.0,-4.0,1,1.6857,0.449,40.0,42.0,38.0,0.0,8.0,-8.0
2022-23,FAIL,15,DEF,39,Mings,516,Collins,5.0,-2.0,-2.0,-7.0,1,1.2574,0.2211,40.0,45.0,38.0,1.0,0.0,1.0
2022-23,FAIL,15,DEF,39,Mings,461,Zouma,4.0,-2.0,-2.0,-6.0,1,1.1518,0.1559,40.0,44.0,38.0,1.0,1.0,0.0
2022-23,FAIL,15,DEF,39,Mings,475,Coady,4.0,-2.0,-2.0,-6.0,1,1.13,0.0936,40.0,44.0,38.0,1.0,1.0,0.0
2022-23,FAIL,15,DEF,141,Chalobah,475,Coady,4.0,-2.0,-2.0,-6.0,1,0.8146,0.1278,40.0,44.0,38.0,1.0,1.0,0.0
2022-23,FAIL,15,DEF,538,Young,516,Collins,5.0,-2.0,-2.0,-7.0,1,1.1409,0.1788,40.0,45.0,38.0,1.0,0.0,1.0
2022-23,FAIL,15,DEF,538,Young,461,Zouma,4.0,-2.0,-2.0,-6.0,1,1.0353,0.1137,40.0,44.0,38.0,1.0,1.0,0.0
2022-23,FAIL,15,DEF,538,Young,475,Coady,4.0,-2.0,-2.0,-6.0,1,1.0135,0.0514,40.0,44.0,38.0,1.0,1.0,0.0
2022-23,FAIL,16,MID,464,Benrahma,680,Gakpo,-1.0,-5.0,-5.0,-4.0,1,0.6733,0.566,38.0,37.0,33.0,2.0,0.0,2.0
2022-23,FAIL,16,MID,464,Benrahma,614,Willian,-3.0,-5.0,-5.0,-2.0,0,0.6289,0.5217,38.0,35.0,33.0,2.0,2.0,0.0
2022-23,FAIL,16,MID,374,Bruno Guimarães,680,Gakpo,0.0,-5.0,-5.0,-5.0,1,0.6891,0.5181,38.0,38.0,33.0,3.0,0.0,3.0
2022-23,FAIL,16,MID,374,Bruno Guimarães,614,Willian,-2.0,-5.0,-5.0,-3.0,1,0.6448,0.4738,38.0,36.0,33.0,3.0,2.0,1.0
2022-23,FAIL,17,DEF,16,Gabriel,342,Dalot,2.0,0.0,0.0,-2.0,0,0.8195,0.1556,56.0,58.0,56.0,2.0,0.0,2.0
2022-23,FAIL,17,DEF,141,Chalobah,257,Amartey,0.0,0.0,0.0,0.0,0,0.824,0.4059,56.0,56.0,56.0,1.0,1.0,0.0
2022-23,FAIL,17,DEF,141,Chalobah,342,Dalot,1.0,0.0,0.0,-1.0,0,0.8518,0.4903,56.0,57.0,56.0,1.0,0.0,1.0
2022-23,FAIL,17,MID,42,Buendía,614,Willian,-3.0,0.0,0.0,3.0,0,0.6279,0.1386,56.0,53.0,56.0,2.0,6.0,-4.0
2022-23,FAIL,17,MID,42,Buendía,519,Eriksen,-3.0,0.0,0.0,3.0,0,0.6297,0.1404,56.0,53.0,56.0,2.0,5.0,-3.0
2022-23,FAIL,17,MID,171,Olise,614,Willian,-3.0,0.0,0.0,3.0,0,0.41,0.1999,56.0,53.0,56.0,2.0,6.0,-4.0
2022-23,FAIL,17,MID,171,Olise,519,Eriksen,-3.0,0.0,0.0,3.0,0,0.4118,0.2017,56.0,53.0,56.0,2.0,5.0,-3.0
2022-23,FAIL,18,FWD,288,Diogo Jota,427,Kane,1.0,4.0,4.0,3.0,1,1.345,0.1603,37.0,38.0,41.0,0.0,2.0,-2.0
2022-23,FAIL,18,MID,300,Gündogan,680,Gakpo,4.0,4.0,4.0,0.0,0,0.8096,0.2296,37.0,41.0,41.0,1.0,0.0,1.0
2022-23,FAIL,18,MID,464,Benrahma,680,Gakpo,5.0,4.0,4.0,-1.0,0,0.9057,0.5344,37.0,42.0,41.0,2.0,0.0,2.0
2022-23,FAIL,18,MID,464,Benrahma,369,Almirón,-1.0,4.0,4.0,5.0,1,0.6359,0.2777,37.0,36.0,41.0,2.0,3.0,-1.0
2022-23,FAIL,19,GKP,518,Hennessey,81,Raya,-1.0,0.0,0.0,1.0,0,0.5094,0.2772,66.0,65.0,66.0,0.0,3.0,-3.0
2022-23,FAIL,20,DEF,595,Zanka,302,Stones,-3.0,-3.0,-3.0,0.0,0,2.2151,2.3542,62.0,59.0,59.0,1.0,1.0,0.0
2022-23,FAIL,20,DEF,595,Zanka,628,Aurier,-3.0,-3.0,-3.0,0.0,0,0.1918,0.05,62.0,59.0,59.0,1.0,8.0,-7.0
2022-23,FAIL,20,DEF,595,Zanka,92,Pinnock,-3.0,-3.0,-3.0,0.0,0,0.1837,0.0372,62.0,59.0,59.0,1.0,6.0,-5.0
2022-23,FAIL,20,FWD,619,Gnonto,11,Nketiah,-3.0,-3.0,-3.0,0.0,0,0.3308,0.0467,62.0,59.0,59.0,2.0,2.0,0.0
2022-23,FAIL,21,DEF,16,Gabriel,302,Stones,-3.0,3.0,3.0,6.0,1,0.6966,0.2401,69.0,66.0,72.0,1.0,8.0,-7.0
2022-23,FAIL,21,DEF,222,Ayling,302,Stones,4.0,3.0,3.0,-1.0,0,0.6047,0.4453,69.0,73.0,72.0,8.0,8.0,0.0
2022-23,FAIL,21,MID,171,Olise,680,Gakpo,1.0,3.0,3.0,2.0,1,0.4699,0.3823,69.0,70.0,72.0,0.0,3.0,-3.0
2022-23,FAIL,21,MID,171,Olise,335,Rashford,-3.0,3.0,3.0,6.0,1,0.4393,0.2932,69.0,66.0,72.0,0.0,7.0,-7.0
2022-23,FAIL,21,MID,171,Olise,283,Salah,1.0,3.0,3.0,2.0,1,0.7001,0.4565,69.0,70.0,72.0,0.0,3.0,-3.0
2022-23,FAIL,21,MID,278,Chamberlain,680,Gakpo,1.0,3.0,3.0,2.0,1,0.3618,0.5808,69.0,70.0,72.0,0.0,3.0,-3.0
2022-23,FAIL,21,MID,278,Chamberlain,283,Salah,1.0,3.0,3.0,2.0,1,0.592,0.6551,69.0,70.0,72.0,0.0,3.0,-3.0
2022-23,FAIL,22,DEF,92,Pinnock,448,Perišić,0.0,-1.0,-1.0,-1.0,1,0.2317,0.001,81.0,81.0,80.0,6.0,5.0,1.0
2022-23,FAIL,22,MID,135,Ziyech,699,Mudryk,-1.0,-1.0,-1.0,0.0,0,0.0176,0.5179,81.0,80.0,80.0,1.0,1.0,0.0
2022-23,FAIL,22,MID,135,Ziyech,7,Ødegaard,-1.0,-1.0,-1.0,0.0,0,0.0433,0.5379,81.0,80.0,80.0,1.0,2.0,-1.0
2022-23,FAIL,23,DEF,257,Amartey,73,Kelly,0.0,-11.0,-11.0,-11.0,1,0.6165,0.0101,90.0,90.0,79.0,0.0,0.0,0.0
2022-23,FAIL,23,DEF,257,Amartey,16,Gabriel,3.0,-11.0,-11.0,-14.0,1,2.8496,2.2433,90.0,93.0,79.0,0.0,3.0,-3.0
2022-23,FAIL,23,DEF,257,Amartey,470,Diop,0.0,-11.0,-11.0,-11.0,1,0.6261,0.0197,90.0,90.0,79.0,0.0,6.0,-6.0
2022-23,FAIL,23,DEF,463,Coufal,73,Kelly,0.0,-11.0,-11.0,-11.0,1,0.6254,0.0295,90.0,90.0,79.0,1.0,0.0,1.0
2022-23,FAIL,23,DEF,463,Coufal,16,Gabriel,3.0,-11.0,-11.0,-14.0,1,2.8586,2.2627,90.0,93.0,79.0,1.0,3.0,-2.0
2022-23,FAIL,23,DEF,463,Coufal,470,Diop,0.0,-11.0,-11.0,-11.0,1,0.635,0.0391,90.0,90.0,79.0,1.0,6.0,-5.0
2022-23,FAIL,23,DEF,222,Ayling,16,Gabriel,-2.0,-11.0,-11.0,-9.0,1,2.5547,2.2507,90.0,88.0,79.0,1.0,3.0,-2.0
2022-23,FAIL,23,MID,171,Olise,335,Rashford,-6.0,-11.0,-11.0,-5.0,0,0.6567,0.3534,90.0,84.0,79.0,2.0,8.0,-6.0
2022-23,FAIL,24,MID,42,Buendía,7,Ødegaard,-9.0,-20.0,-20.0,-11.0,1,0.9579,0.189,55.0,46.0,35.0,2.0,8.0,-6.0
2022-23,FAIL,24,MID,42,Buendía,333,Fernandes,-13.0,-20.0,-20.0,-7.0,0,0.9716,0.2028,55.0,42.0,35.0,2.0,12.0,-10.0
2022-23,FAIL,24,MID,446,Kulusevski,333,Fernandes,-12.0,-20.0,-20.0,-8.0,0,0.4559,0.0884,55.0,43.0,35.0,3.0,12.0,-9.0
2022-23,FAIL,25,DEF,222,Ayling,285,Alexander-Arnold,-9.0,-12.0,-12.0,-3.0,0,2.7639,1.967,89.0,80.0,77.0,6.0,13.0,-7.0
2022-23,FAIL,26,FWD,262,Iheanacho,318,Haaland,-2.0,-15.0,-15.0,-13.0,1,0.5461,0.4111,68.0,66.0,53.0,2.0,4.0,-2.0
