season,e024_gate,candidate,gw,role,n_enter,n_exit,n_pos_touched,n_unpaired_enter,n_unpaired_exit,flex_flag,budget_delta,n_squad_changes,cap_ctrl,cap_cand,cap_delta,g_treat,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_cand_u,enter_cand_mu,enter_ctrl_mu,enter_cost,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_cand_u,exit_mins,exit_pts,du_cand,paired,blank_enter,primary_harm,primary_mover_id
2022-23,FAIL,v1_adxg,30,primary,4,4,4,1,1,1,20,7,51.0,56.0,5.0,0.3118,0,0,0,301,De Bruyne,MID,3.6684,3.6684,3.412,121,90.0,9.0,116,Mac Allister,MID,3.0768,90.0,2.0,0.5916,1,0,0,301
2022-23,FAIL,v1_adxg,30,companion,4,4,4,1,1,1,20,7,51.0,56.0,5.0,0.3118,0,0,0,594,Isak,FWD,3.2248,3.2248,3.0352,67,86.0,5.0,,,,,,,,0,0,0,301
2022-23,FAIL,v1_adxg,31,companion,5,5,4,0,0,1,-2,5,61.0,76.0,15.0,0.3071,1,0,0,81,Raya,GKP,3.4752,3.4752,3.3912,49,90.0,5.0,133,Arrizabalaga,GKP,3.416,90.0,6.0,0.0592,1,0,0,285
2022-23,FAIL,v1_adxg,31,primary,5,5,4,0,0,1,-2,5,61.0,76.0,15.0,0.3071,1,0,0,285,Alexander-Arnold,DEF,3.1992,3.1992,2.906,73,90.0,9.0,222,Ayling,DEF,2.526,0.0,0.0,0.6732,1,0,0,285
2022-23,FAIL,v1_adxg,31,companion,5,5,4,0,0,1,-2,5,61.0,76.0,15.0,0.3071,1,0,0,302,Stones,DEF,3.0308,3.0308,2.7216,54,45.0,8.0,180,Keane,DEF,2.8568,90.0,1.0,0.174,1,0,0,285
2022-23,FAIL,v1_adxg,31,companion,5,5,4,0,0,1,-2,5,61.0,76.0,15.0,0.3071,1,0,0,407,Ward-Prowse,MID,3.1748,3.1748,3.1704,63,90.0,2.0,233,Harrison,MID,3.0368,76.0,2.0,0.138,1,0,0,285
2022-23,FAIL,v1_adxg,31,companion,5,5,4,0,0,1,-2,5,61.0,76.0,15.0,0.3071,1,0,0,594,Isak,FWD,3.1808,3.1808,3.0168,67,90.0,2.0,427,Kane,FWD,3.5948,90.0,2.0,-0.414,1,0,0,285
2022-23,FAIL,v1_adxg,32,companion,2,2,3,1,1,1,4,5,72.0,67.0,-5.0,0.0785,0,0,0,10,White,DEF,3.4952,3.4952,3.1336,50,90.0,4.0,,,,,,,,0,0,0,427
2022-23,FAIL,v1_adxg,32,primary,2,2,3,1,1,1,4,5,72.0,67.0,-5.0,0.0785,0,0,0,427,Kane,FWD,3.4008,3.4008,3.4068,116,90.0,6.0,40,Watkins,FWD,3.1136,90.0,2.0,0.2872,1,0,0,427
2022-23,FAIL,v1_adxg,33,companion,3,3,2,0,0,1,-5,5,77.0,73.0,-4.0,0.1817,0,0,0,39,Mings,DEF,2.8344,2.8344,2.81,46,90.0,15.0,139,Chilwell,DEF,2.8848,90.0,1.0,-0.0504,1,0,0,283
2022-23,FAIL,v1_adxg,33,companion,3,3,2,0,0,1,-5,5,77.0,73.0,-4.0,0.1817,0,0,0,116,Mac Allister,MID,3.2412,3.2412,3.1072,55,90.0,2.0,301,De Bruyne,MID,3.8884,79.0,19.0,-0.6472,1,0,0,283
2022-23,FAIL,v1_adxg,33,primary,3,3,2,0,0,1,-5,5,77.0,73.0,-4.0,0.1817,0,0,0,283,Salah,MID,4.0232,4.0232,3.756,130,90.0,2.0,42,Buendía,MID,3.1856,90.0,3.0,0.8376,1,0,0,283
2022-23,FAIL,v1_adxg,34,primary,2,2,2,0,0,1,11,3,114.0,91.0,-23.0,0.3492,0,1,1,280,Van Dijk,DEF,6.4584,6.4584,6.1276,66,180.0,7.0,342,Dalot,DEF,5.4364,180.0,10.0,1.022,1,0,0,280
2022-23,FAIL,v1_adxg,34,companion,2,2,2,0,0,1,11,3,114.0,91.0,-23.0,0.3492,0,1,1,301,De Bruyne,MID,8.2,8.2,7.576,122,0.0,0.0,283,Salah,MID,8.8024,173.0,18.0,-0.6024,1,1,1,280
2022-23,FAIL,v1_adxg,35,primary,3,3,2,0,0,1,16,5,64.0,61.0,-3.0,0.5443,0,1,1,303,Mahrez,MID,3.9796,3.9796,3.462,73,90.0,10.0,124,Mitoma,MID,3.7016,90.0,5.0,0.278,1,0,0,303
2022-23,FAIL,v1_adxg,35,companion,3,3,2,0,0,1,16,5,64.0,61.0,-3.0,0.5443,0,1,1,305,Grealish,MID,3.9796,3.9796,3.502,73,0.0,0.0,335,Rashford,MID,3.8168,90.0,2.0,0.1628,1,1,1,303
