season,cap_gate,gw,movement,player_id,web_name,position,club_transition,n_comp,recent4,demotion,demoted,ctrl_p_start,treat_p_start,p_start_delta,ctrl_mu,treat_mu,actual_minutes,blank,actual_points
2023-24,PASS,28,entered,526,Bowen,MID,0,0,360,none,0,0.82,0.82,0.0,4.1488,4.1488,90.0,0,2.0
2023-24,PASS,30,left,77,Neto,GKP,0,0,360,none,0,0.85,0.85,0.0,3.5024,3.5024,90.0,0,2.0
2023-24,PASS,30,entered,409,Dubravka,GKP,0,0,180,none,0,0.85,0.85,0.0,3.4716,3.4716,90.0,0,1.0
2023-24,PASS,31,left,664,Ward-Prowse,MID,1,4,199,cap_0.48,1,0.82,0.48,-0.34,3.7724,2.3,90.0,0,2.0
2023-24,PASS,31,left,308,Salah,MID,1,2,119,cap_0.48,1,0.68,0.48,-0.2,5.7708,4.1352,59.0,0,1.0
2023-24,PASS,31,entered,516,Son,MID,0,0,352,none,0,0.82,0.82,0.0,4.438,4.438,90.0,0,2.0
2023-24,PASS,31,entered,14,Ødegaard,MID,0,0,270,none,0,0.82,0.82,0.0,4.1492,4.1492,90.0,0,11.0
2023-24,PASS,33,left,321,Doughty,DEF,1,6,307,hot_skip,0,0.82,0.82,0.0,2.9632,2.9632,90.0,0,0.0
2023-24,PASS,33,left,308,Salah,MID,1,2,239,cap_0.48,1,0.82,0.48,-0.34,6.6464,4.172,90.0,0,2.0
2023-24,PASS,33,left,303,Luis Díaz,MID,1,3,268,cap_0.48,1,0.82,0.48,-0.34,4.5536,2.7868,65.0,0,2.0
2023-24,PASS,33,entered,506,Pedro Porro,DEF,0,0,360,none,0,0.82,0.82,0.0,3.1972,3.1972,48.0,0,0.0
2023-24,PASS,33,entered,516,Son,MID,0,0,353,none,0,0.82,0.82,0.0,4.5728,4.5728,57.0,0,1.0
2023-24,PASS,33,entered,85,Solanke,FWD,0,0,263,none,0,0.85,0.85,0.0,4.416,4.416,90.0,0,7.0
2024-25,FAIL,1,left,3,Gabriel,DEF,0,0,0,none,0,0.45,0.45,0.0,1.776,1.776,90.0,0,6.0
2024-25,FAIL,1,left,401,Isak,FWD,0,0,0,none,0,0.72,0.72,0.0,2.6964,2.6964,90.0,0,5.0
2024-25,FAIL,1,left,182,Palmer,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,4.1552,2.93,90.0,0,2.0
2024-25,FAIL,1,left,503,Son,MID,0,0,0,none,0,0.72,0.72,0.0,3.4976,3.4976,90.0,0,2.0
2024-25,FAIL,1,left,58,Watkins,FWD,0,0,0,none,0,0.72,0.72,0.0,2.8592,2.8592,61.0,0,2.0
2024-25,FAIL,1,entered,514,Bowen,MID,0,0,0,none,0,0.72,0.72,0.0,2.9056,2.9056,72.0,0,2.0
2024-25,FAIL,1,entered,6,J.Timber,DEF,0,0,0,none,0,0.45,0.45,0.0,1.7072,1.7072,21.0,0,1.0
2024-25,FAIL,1,entered,13,Ødegaard,MID,0,0,0,none,0,0.72,0.72,0.0,3.054,3.054,90.0,0,3.0
2024-25,FAIL,1,entered,207,Mateta,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,2.588,2.588,45.0,0,1.0
2024-25,FAIL,1,entered,351,Haaland,FWD,0,0,0,none,0,0.72,0.72,0.0,3.9596,3.9596,90.0,0,7.0
2024-25,FAIL,2,left,328,M.Salah,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,3.808,2.702,82.0,0,10.0
2024-25,FAIL,2,left,772,Willian,MID,1,2,0,cap_0.48,1,0.82,0.48,-0.34,3.596,2.2084,0.0,1,0.0
2024-25,FAIL,2,left,182,Palmer,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,3.62,2.594,82.0,0,17.0
2024-25,FAIL,2,left,375,Højlund,FWD,0,0,0,none,0,0.82,0.82,0.0,2.9424,2.9424,0.0,1,0.0
2024-25,FAIL,2,entered,17,Saka,MID,0,0,0,none,0,0.72,0.72,0.0,3.4332,3.4332,87.0,0,6.0
2024-25,FAIL,2,entered,58,Watkins,FWD,0,0,0,none,0,0.72,0.72,0.0,3.0892,3.0892,64.0,0,2.0
2024-25,FAIL,2,entered,366,B.Fernandes,MID,0,0,0,none,0,0.72,0.72,0.0,3.4168,3.4168,78.0,0,2.0
2024-25,FAIL,2,entered,311,Alexander-Arnold,DEF,1,1,0,cap_0.68,1,0.72,0.68,-0.04,2.8436,2.696,71.0,0,6.0
2024-25,FAIL,3,left,322,Gomez,DEF,1,2,0,cap_0.48,1,0.68,0.48,-0.2,1.9532,1.4852,0.0,1,0.0
2024-25,FAIL,3,left,772,Willian,MID,1,2,0,cap_0.48,1,0.82,0.48,-0.34,3.2488,2.0068,0.0,1,0.0
